slug,spread,deep_ratio,deep_bid,deep_ask,up_ask,down_ask,winner,mid_price_up
btc-updown-5m-1771993800,0.09000000000000001,0.0,0.0,25.0,0.1,0.99,Down,0.055
btc-updown-5m-1772007000,0.06999999999999999,0.0,0.0,25.0,0.09,0.98,Down,0.055
btc-updown-5m-1772008800,0.040000000000000036,1.0,67.2,0.0,0.99,0.05,Up,0.97
btc-updown-5m-1772012400,0.41,0.0,0.0,276.5,0.43,0.98,Down,0.225
btc-updown-5m-1772019000,0.82,1.0,282.13,0.0,0.99,0.83,Up,0.58
btc-updown-5m-1772026200,0.24999999999999994,0.00688954683960217,60.64,8741.1,0.69,0.56,Up,0.565
btc-updown-5m-1772030400,0.04999999999999993,0.6575767431387756,788.52,410.61,0.69,0.36,Down,0.665
btc-updown-5m-1772034300,0.1499999999999999,0.9895771776527039,10348.82,109.0,0.69,0.46,Down,0.615
btc-updown-5m-1772037000,0.04000000000000001,0.9907464572877096,2728.06,25.48,0.1,0.94,Down,0.08
btc-updown-5m-1772038800,0.15000000000000002,0.9318862275449101,560.25,40.95,0.76,0.39,Down,0.685
btc-updown-5m-1772041500,0.040000000000000036,1.0,284.33,0.0,0.98,0.06,Up,0.96
btc-updown-5m-1772041800,0.06999999999999999,0.0,0.0,249.38,0.09,0.98,Down,0.055
btc-updown-5m-1772043300,0.08,0.0,0.0,509.85,0.1,0.98,Down,0.060000000000000005
btc-updown-5m-1772056200,0.04000000000000001,0.9626828506956607,4040.12,156.61,0.07,0.97,Down,0.05
btc-updown-5m-1772071500,0.06999999999999995,1.0,390.56000000000006,0.0,0.99,0.08,Up,0.9550000000000001
btc-updown-5m-1772080500,0.050000000000000044,0.05288284979801689,36.0,644.75,0.63,0.42,Down,0.605
btc-updown-5m-1772080800,0.05000000000000002,0.8682383943907203,369.01,56.0,0.14,0.91,Down,0.115
btc-updown-5m-1772087700,0.10000000000000003,0.36,36.0,64.0,0.51,0.59,Up,0.45999999999999996
btc-updown-5m-1772088300,0.07999999999999996,1.0,71.0,0.0,0.99,0.09,Up,0.95
btc-updown-5m-1772088600,0.12,1.0,73.33,0.0,0.98,0.14,Up,0.9199999999999999
btc-updown-5m-1772089500,0.12,0.3792548914500134,42.45,69.48,0.71,0.41,Up,0.6499999999999999
btc-updown-5m-1772101200,0.05,0.9925904591128063,8546.72,63.800000000000004,0.08,0.97,Down,0.055
btc-updown-5m-1772108100,0.08999999999999997,1.0,679.0600000000001,0.0,0.99,0.1,Up,0.9450000000000001
btc-updown-5m-1772111700,0.3,0.5160855784469097,130.26,122.14,0.62,0.68,Down,0.47
btc-updown-5m-1772119200,0.06000000000000005,0.6578605456907752,1519.0,790.0,0.53,0.53,Up,0.5
btc-updown-5m-1772124300,0.04,0.0,0.0,48.2,0.05,0.99,Down,0.030000000000000002
btc-updown-5m-1772146500,0.65,0.5639593415521565,1277.21,987.51,0.86,0.79,Up,0.535
btc-updown-5m-1772147100,0.22000000000000008,0.007834220921548112,45.0,5699.03,0.81,0.41,Up,0.7
btc-updown-5m-1772148300,0.08000000000000002,0.9288396625163291,2837.02,217.35,0.14,0.94,Down,0.1
