slug,entry_price,fee,payout,pnl,depth_ratio_at_signal,depth_ratio_zscore,spread_at_signal,spread_zscore,mid_price_at_signal,snapshot_idx,total_snapshots
btc-updown-5m-1771208100,0.53,0.00018252245761499997,0.0,-0.530182522457615,0.6472201387586725,1.559754869108049,0.010000000000000009,-0.25010636035368095,0.525,141,31819
btc-updown-5m-1771258500,0.52,0.00017979826176,0.0,-0.52017979826176,2.325124202936939,1.5760914659249594,0.020000000000000018,0.0,0.51,128,44813
btc-updown-5m-1771375500,0.52,0.00017979826176,0.0,-0.52017979826176,3.3932108565812356,1.5196989471091664,0.010000000000000009,-0.9954264344529782,0.515,122,16776
btc-updown-5m-1771379400,0.54,0.00018492257232000006,0.0,-0.54018492257232,3.6121334909111384,3.282887199564524,0.020000000000000018,-0.20931510712404777,0.53,31,27384
btc-updown-5m-1771395900,0.45,0.00015298748437500003,1.0,0.5498470125156251,0.7866490222026172,2.653467225892624,0.040000000000000036,0.038858916715736706,0.43,92,27296
btc-updown-5m-1771396800,0.51,0.00017676475330500002,1.0,0.48982323524669497,0.9602600879709314,3.0326770061287367,0.010000000000000009,0.0,0.505,131,19703
btc-updown-5m-1771419900,0.54,0.00018492257232000006,1.0,0.45981507742767996,2.0895401605788453,1.845956793308016,0.030000000000000027,0.24111323733951034,0.525,80,18322
btc-updown-5m-1771458600,0.49,0.00016983280219500004,0.0,-0.490169832802195,1.04803797673439,1.5847496143367967,0.010000000000000009,-0.9511127086814606,0.485,119,28125
btc-updown-5m-1771463100,0.47,0.00016185953788499998,1.0,0.5298381404621151,0.9501884272289274,2.1432614915471966,0.019999999999999962,0.2360032003349543,0.45999999999999996,70,33625
btc-updown-5m-1771502700,0.57,0.00019004413063500002,1.0,0.42980995586936505,7.744370243826681,3.92147765676918,0.009999999999999898,-0.8785580182496762,0.565,30,31850
btc-updown-5m-1771507800,0.53,0.00018252245761499997,1.0,0.46981747754238495,3.2653247941445565,3.1765775902583187,0.010000000000000009,-0.5752992848417943,0.525,35,38484
btc-updown-5m-1771515000,0.64,0.00018855493632,1.0,0.35981144506368,1.3826971787929077,2.716844474255139,0.040000000000000036,0.023372868284036816,0.62,19,35282
btc-updown-5m-1771520400,0.58,0.00019101855024000001,1.0,0.41980898144976003,0.31934333486624616,1.6269149263957867,0.019999999999999907,-0.4320493798938579,0.5700000000000001,65,39893
btc-updown-5m-1771630200,0.49,0.00016983280219500004,0.0,-0.490169832802195,2.035849093126343,1.5641250219874299,0.010000000000000009,-0.20207259421637486,0.485,219,25942
btc-updown-5m-1771632300,0.49,0.00016983280219500004,0.0,-0.490169832802195,0.05714649602865236,1.6960043414088397,0.010000000000000009,-0.3493939389392351,0.485,50,20817
btc-updown-5m-1771653900,0.47,0.00016185953788499998,0.0,-0.470161859537885,0.4012296983758701,1.57049222054961,0.009999999999999953,0.0,0.46499999999999997,94,20552
btc-updown-5m-1771746600,0.52,0.00017979826176,0.0,-0.52017979826176,5.391353383458647,1.7294750113438875,0.010000000000000009,-2.122193135344591,0.515,19,23617
